Fleet Name,Log.Event Dt,Pumping Hours,Transition Time (hrs),NPT_int,Time Available (hrs),NPT_ext,Ranking Score,Daily_Rank
Frac 32,2024-08-08,19.439999998,1.2483333349999999,0.146666666,21.028333332,0.113333334,0.8627779105295508,1.0
Frac 21,2024-08-08,12.237777777,1.663333333,1.3841666670000001,15.343333332,0.0,0.5989753059612404,2.0
Frac 90,2024-08-08,6.458888889000001,1.4955555550000001,0.321944444,8.370833332,0.0,0.5544715449365013,3.0
Frac 38,2024-08-08,9.6425,2.436666667,0.583888889,12.876944445,0.0,0.5142481178111505,4.0
Frac 39,2024-08-08,4.165555555,1.535555556,0.247222222,6.205555555,0.027222222,0.38566675648155735,5.0
Frac 40,2024-08-08,10.602222221,3.155833333,1.9536111099999998,16.286944443,1.034444446,0.36012311287201243,6.0
Frac 10,2024-08-08,3.119722222,12.688611111,0.0,15.848055556,0.0,-0.6037894589142365,7.0
Frac 08,2024-08-08,0.0,0.0,0.0,0.0,0.0,,
Frac 18,2024-08-09,5.971944445,0.12083333399999999,0.0,6.485555558,0.401111112,0.9616508397651002,1.0
Frac 32,2024-08-09,15.526388889,0.713888889,0.0,16.353611112,0.0,0.9057632530549073,2.0
Frac 38,2024-08-09,13.674166666,1.78,1.072222222,17.589166666,1.665,0.6795925131269911,3.0
Frac 90,2024-08-09,6.515833334,1.1877777760000001,1.026944445,9.038333332,0.528888888,0.5054514594113966,4.0
Frac 40,2024-08-09,6.470555555,2.3625,0.0,9.353888889,0.382777778,0.4579204854527857,5.0
Frac 10,2024-08-09,4.536666666,3.817777778,0.215,8.707777777,0.0,0.05786653046325213,6.0
Frac 39,2024-08-09,9.791388888,5.47,3.5105555550000003,18.995277777,0.0,0.04268604768611382,7.0
Frac 08,2024-08-09,9.005555556,9.57138889,0.0,18.674722224,0.0,-0.03029942438837534,8.0
Frac 18,2024-09-01,6.878611113,3.014722222,0.486944444,17.633611113,13.875555556,0.8985882182369235,1.0
Frac 32,2024-09-01,7.0486111099999995,0.653611111,0.045277778000000005,8.011388888,0.0,0.7925869421357191,2.0
Frac 40,2024-09-01,12.644444445000001,1.519722222,0.0,14.258888888,0.0,0.7801955895990148,3.0
Frac 39,2024-09-01,15.030555555,1.820833333,0.299722222,17.490277776,0.0,0.7381243548753117,4.0
Frac 90,2024-09-01,17.35,1.466666668,4.666666667,23.483333335,0.0,0.4776437188447379,5.0
Frac 21,2024-09-01,8.923611112,3.5,1.516388889,14.095833334,0.0,0.2771898709653117,6.0
Frac 38,2024-09-01,5.069444444,1.6075,2.598333333,10.238611110999999,1.537777778,0.09925613765345304,7.0
Frac 10,2024-09-01,7.0313888890000005,8.35,0.0,16.165277778,0.0,-0.08157058165709667,8.0
Frac 08,2024-09-01,4.5194444439999995,0.605,0.0,17.469444444,24.245,-0.5777304033074626,9.0
Frac 32,2024-09-02,14.159166668,0.853055556,0.0,15.208055557,0.0,0.874938355013796,1.0
Frac 40,2024-09-02,14.345833334,1.907222223,0.099722222,16.445833334,0.0,0.7502744700379924,2.0
Frac 39,2024-09-02,7.206944444,1.261111111,0.071666667,8.576388889,0.047777778,0.6887600559513893,3.0
Frac 08,2024-09-02,14.274444444,1.994999999,1.305833334,17.904166663,0.0,0.6129082306677587,4.0
Frac 90,2024-09-02,5.916666666999999,1.433333333,0.21666666699999998,7.616666667,0.1,0.5676274944759365,5.0
Frac 18,2024-09-02,8.845833333,1.350555556,1.7719444439999998,12.224444444,0.080555556,0.4712932888125747,6.0
Frac 38,2024-09-02,10.274166667,2.994444444,0.901944444,14.798333332,0.903888888,0.45901639354527035,7.0
Frac 08,2024-09-03,10.77388889,1.102222221,0.0,16.847499999,9.467222222,1.310474613725369,1.0
Frac 39,2024-09-03,5.916388888,2.0,0.162222222,13.772499999,10.48,1.1402176665573933,2.0
Frac 32,2024-09-03,12.856666668999999,0.920555555,0.1775,14.03416667,0.0,0.8378560259752138,3.0
Frac 10,2024-09-03,3.541666667,0.582777778,0.0,4.164444445,0.0,0.7105122731442752,4.0
Frac 40,2024-09-03,9.117777778,1.571944444,0.058888889,10.842777778,0.0,0.6905005892669878,5.0
Frac 90,2024-09-03,14.55,1.85,1.433333334,17.833333334,0.0,0.6317757008735786,6.0
Frac 38,2024-09-03,4.555555555,1.866944444,0.278888889,7.2930555550000005,0.570555556,0.3584562621581935,7.0
Frac 32,2024-09-04,15.591944445,0.606666667,0.0,17.321111113,1.843333334,0.9681801865854271,1.0
Frac 21,2024-09-04,10.605000001,1.7113888879999999,0.0,14.784166667,4.611666666,0.8742797849226562,2.0
